time, rowNum, profile
260.25,5,0.43
260.25,6,0.42
260.25,7,0.42
260.25,8,0.42
260.25,9,0.42
260.25,10,0.42
260.25,11,0.42
260.25,12,0.42
260.25,13,0.42
260.25,14,0.42
260.25,15,0.42
260.25,16,0.42
260.25,17,0.42
260.25,18,0.42
260.25,19,0.42
260.29,0,0.54
260.29,1,0.47
260.29,2,0.45
260.29,3,0.44
260.29,4,0.43
260.29,5,0.43
260.29,6,0.43
260.29,7,0.42
260.29,8,0.42
260.29,9,0.42
260.29,10,0.42
260.29,11,0.42
260.29,12,0.42
260.29,13,0.42
260.29,14,0.42
260.29,15,0.42
260.29,16,0.42
260.29,17,0.42
260.29,18,0.42
260.29,19,0.42
260.34,0,0.53
260.34,1,0.56
260.34,2,0.46
260.34,3,0.46
260.34,4,0.51
260.34,5,0.47
260.34,6,0.44
260.34,7,0.44
260.34,8,0.43
260.34,9,0.43
260.34,10,0.43
260.34,11,0.42
260.34,12,0.42
260.34,13,0.42
260.34,14,0.42
260.34,15,0.42
260.34,16,0.42
260.34,17,0.42
260.34,18,0.42
260.34,19,0.42
260.38,0,0.53
260.38,1,0.62
260.38,2,0.56
260.38,3,0.53
260.38,4,0.49
260.38,5,0.46
260.38,6,0.43
260.38,7,0.42
260.38,8,0.42
260.38,9,0.42
260.38,10,0.42
260.38,11,0.42
260.38,12,0.42
260.38,13,0.42
260.38,14,0.42
260.38,15,0.42
260.38,16,0.42
260.38,17,0.42
260.38,18,0.42
260.38,19,0.42
260.42,0,0.50
260.42,1,0.54
260.42,2,0.51
260.42,3,0.46
260.42,4,0.44
260.42,5,0.44
260.42,6,0.43
260.42,7,0.43
260.42,8,0.43
260.42,9,0.42
260.42,10,0.42
260.42,11,0.42
260.42,12,0.42
260.42,13,0.42
260.42,14,0.42
260.42,15,0.42
